RestaurantID,City,Area,RestaurantName,CuisineTypes,AverageMealPrice,AverageRating,TotalRatings,EstimatedOrders,EstimatedRevenue,DeliveryTimeMinutes,DiscountPercentage,DeliveryPartner,Address,LastUpdatedDate
2862,Delhi,Dwarka,Cafe Healthy Food Junction,"Italian, Burgers, Pizza",1040,4.6,655,4797,4988880,37,0,Swiggy One,"09/585, Tandon Road, Udupi-461861",07-04-2026
2863,Mumbai,Lower Parel,Biryani Mughlai Factory,Arabian,1101,4.8,3867,850,935850,59,40,Swiggy Genie,"48, Golla, Raurkela Industrial Township-108349",08-06-2025
2864,Hyderabad,Kukatpally,Kitchen Fast Food Treats,Seafood,317,4.7,8551,2483,787111,75,0,Swiggy Genie,"H.No. 072, Ramanathan, Ongole-080534",02-10-2025
2865,Mumbai,Powai,Kitchen Burgers Point,"Ice Cream, Italian, Biryani, North Indian",1149,4.2,8344,639,734211,49,50,Regular Delivery,"H.No. 89, Gole Zila, Srinagar-778226",15-05-2026
2866,Mumbai,Lower Parel,Biryani Italian Corner,Mughlai,594,3.7,5099,1052,624888,68,10,Swiggy Genie,"93/75, Saha Circle, Ahmednagar 344692",13-02-2026
2867,Chennai,OMR,Food Italian Point,"Italian, Ice Cream, Bakery",417,3.6,13308,4579,1909443,50,15,Swiggy Genie,"H.No. 47, Rout Road, Ratlam-063085",10-10-2025
2868,Delhi,Saket,Kitchen Bakery Corner,Burgers,648,4,11089,3392,2198016,57,10,Swiggy Genie,"74, Singh Circle, Parbhani-150336",13-11-2025
2869,Delhi,Karol Bagh,House Seafood Factory,Bakery,515,3.8,3767,1837,946055,23,25,Swiggy One,"782, Sandal Street, Purnia 155004",07-04-2026
2870,Mumbai,Bandra,Biryani Mughlai World,Seafood,164,3.8,2069,2171,356044,47,25,Regular Delivery,"774, Rajagopalan, Singrauli-945626",11-05-2026
2871,Bangalore,Koramangala,Cafe Ice Cream Hub,"North Indian, Healthy Food, Italian",1030,3.6,789,1087,1119610,29,20,Swiggy Genie,"H.No. 29, Mandal Zila, Sambalpur 667093",13-04-2026
2872,Mumbai,Powai,Delight Healthy Food Corner,Italian,961,3.9,2693,2582,2481302,31,30,Swiggy Genie,"H.No. 576, Sampath Street, Bulandshahr 991637",13-07-2025
2873,Mumbai,Bandra,Kitchen Pizza Factory,"Ice Cream, Arabian, Bakery",355,4.5,10569,1676,594980,58,50,Swiggy One,"312, Dalal, Bijapur 800070",21-02-2026
2874,Mumbai,Powai,Express Italian Zone,"Italian, Bakery, Burgers",618,4.8,7985,2722,1682196,24,0,Swiggy Genie,"00, Dara Road, Sri Ganganagar-198163",09-01-2026
2875,Delhi,Saket,Cafe Healthy Food World,"South Indian, Mughlai, Fast Food",366,4,3245,96,35136,65,40,Regular Delivery,"92, Banik Ganj, Indore-516937",26-12-2025
2876,Bangalore,Whitefield,Street South Indian Corner,"Desserts, Bakery, North Indian",837,3.6,13046,2484,2079108,23,0,Swiggy Genie,"85, Dara Street, Hindupur 852583",03-06-2025
2877,Hyderabad,Madhapur,Biryani Pizza World,"Mughlai, Andhra, Desserts, Italian",121,3.7,2601,920,111320,48,50,Swiggy One,"49/57, Lall Zila, Sasaram-578551",17-08-2025
2878,Mumbai,Bandra,Street Burgers World,"North Indian, Fast Food, Andhra",442,4,10003,1805,797810,21,25,Regular Delivery,"746, Tara Chowk, Rajkot-044298",02-02-2026
2879,Delhi,Connaught Place,Urban Italian Hub,"Andhra, Desserts, Fast Food, Chinese",414,4.4,5161,3326,1376964,35,10,Regular Delivery,"94, Tara Street, Mathura-562897",07-07-2025
2880,Hyderabad,Hitech City,Express Arabian Treats,Seafood,678,4.7,2116,523,354594,41,40,Swiggy One,"560, Bumb Chowk, Bettiah 819116",10-06-2025
2881,Mumbai,Dadar,Tandoori Andhra Grill,"South Indian, Seafood",163,3.6,14927,2954,481502,26,30,Swiggy Genie,"663, Kadakia Road, Serampore 493860",12-10-2025
2882,Hyderabad,Banjara Hills,Street North Indian Grill,Desserts,1085,3.3,14224,534,579390,28,15,Regular Delivery,"631, Kota Ganj, Saharsa 474418",11-01-2026
2883,Mumbai,Dadar,House North Indian Factory,"Andhra, Fast Food, Burgers, Pizza",599,4.3,2978,1013,606787,37,15,Regular Delivery,"01, Sandhu Ganj, Bally 876101",28-11-2025
2884,Mumbai,Lower Parel,Cafe Burgers Zone,"Desserts, Burgers, Biryani",1009,4.7,7690,3075,3102675,55,0,Regular Delivery,"70/55, Tailor Nagar, Haldia-426943",10-04-2026
2885,Bangalore,Indiranagar,Kitchen Desserts Corner,Seafood,357,3.3,12760,4650,1660050,71,50,Regular Delivery,"H.No. 864, Shetty Ganj, Amroha 449852",25-09-2025
2886,Delhi,Dwarka,Biryani Pizza Treats,"Bakery, Burgers, Andhra",345,3.5,544,2929,1010505,48,0,Regular Delivery,"720, Konda Street, Kolkata-253157",21-09-2025
2887,Chennai,Adyar,Urban Bakery Hub,Bakery,936,3.9,14623,2449,2292264,71,25,Swiggy Genie,"25/57, Cherian Street, Aurangabad-060984",03-02-2026
2888,Hyderabad,Gachibowli,Biryani Mughlai Grill,"Andhra, Seafood, Chinese",428,4.6,4088,284,121552,40,40,Swiggy Genie,"01, Gole Marg, Gandhinagar-175851",23-12-2025
2889,Mumbai,Bandra,Royal Healthy Food Grill,"Bakery, South Indian, Burgers",1034,4.3,6001,3968,4102912,24,20,Regular Delivery,"401, Chaudhry Marg, Avadi-698850",21-11-2025
2890,Chennai,OMR,Urban Italian Junction,"Fast Food, South Indian, Andhra",667,4.4,4165,4421,2948807,71,30,Regular Delivery,"523, Apte Street, Hajipur-820315",26-03-2026
2891,Bangalore,BTM Layout,Tandoori Ice Cream Treats,"Andhra, Bakery, Chinese, South Indian",302,3.6,11244,2700,815400,44,10,Swiggy Genie,"143, Shere Street, Kadapa-791763",06-07-2025
2892,Mumbai,Powai,Urban Pizza Palace,"Pizza, Mughlai",1040,2.9,11133,99,102960,52,10,Swiggy Genie,"82/61, Maharaj Chowk, Ahmednagar-697345",23-02-2026
2893,Chennai,OMR,Delight Italian Point,Burgers,678,2.9,13813,2097,1421766,55,25,Swiggy One,"138, Kashyap Path, Suryapet-104802",26-12-2025
2894,Chennai,OMR,Food Biryani World,Pizza,631,2.8,282,2731,1723261,53,0,Regular Delivery,"H.No. 54, Gopal Path, Ramgarh 140591",11-05-2026
2895,Delhi,Rohini,House South Indian Zone,Seafood,367,3.4,3205,286,104962,33,25,Swiggy One,"H.No. 89, Ravel Ganj, Ballia-956323",16-08-2025
2896,Bangalore,Jayanagar,Biryani Mughlai Junction,South Indian,818,4.8,8540,4924,4027832,66,40,Regular Delivery,"H.No. 52, Mallick Marg, Tumkur-924589",30-06-2025
2897,Bangalore,Indiranagar,Royal Biryani Treats,Desserts,969,4,6898,695,673455,21,15,Swiggy Genie,"80/441, Sengupta Marg, New Delhi-408137",30-05-2025
2898,Chennai,Adyar,Express Biryani Corner,"Andhra, Mughlai, Pizza, Chinese",830,4,14204,1380,1145400,32,40,Swiggy Genie,"02/251, Vasa, Haridwar 817564",02-10-2025
2899,Mumbai,Powai,Urban Mughlai Hub,"Seafood, Arabian, South Indian",424,2.8,3721,3624,1536576,25,25,Swiggy One,"504, Yogi Circle, Berhampore-313496",20-04-2026
2900,Mumbai,Powai,Biryani Healthy Food Zone,"Biryani, Mughlai, Fast Food, Andhra",317,3.2,4726,549,174033,56,30,Swiggy One,"H.No. 47, Dass, Dehri-288074",17-11-2025
2901,Hyderabad,Hitech City,Street Bakery Hub,"Arabian, Seafood, South Indian, Fast Food",909,3.1,11913,1636,1487124,65,30,Swiggy Genie,"33/281, Sastry Road, Amroha 491536",17-11-2025
2902,Hyderabad,Gachibowli,Urban Ice Cream Zone,Healthy Food,1121,3.6,1590,888,995448,31,40,Swiggy Genie,"H.No. 718, Sami Chowk, Kadapa-268627",01-02-2026
2903,Delhi,Karol Bagh,Express Mughlai Point,"Healthy Food, Pizza, Burgers",1152,4.4,11319,4803,5533056,40,20,Swiggy Genie,"H.No. 13, Brahmbhatt Marg, Dhule-940335",11-06-2025
2904,Chennai,Anna Nagar,House Ice Cream Corner,"Bakery, Pizza",1090,3.9,5831,4909,5350810,56,10,Swiggy Genie,"836, Solanki Path, Sikar 847646",25-08-2025
2905,Bangalore,Whitefield,Urban Bakery Grill,"Bakery, Fast Food, Arabian, Biryani",969,4.5,7561,1217,1179273,47,15,Swiggy Genie,"48/264, Chahal Nagar, Bareilly 969474",31-07-2025
2906,Mumbai,Lower Parel,Urban Healthy Food Factory,"Chinese, Mughlai",592,4.7,2061,2901,1717392,54,20,Swiggy One,"67/56, Badami Zila, Panchkula 386172",16-07-2025
2907,Mumbai,Lower Parel,Urban North Indian Point,Burgers,1050,3.8,11157,1144,1201200,21,40,Regular Delivery,"36, Grover Path, Surat-074159",29-11-2025
2908,Chennai,T Nagar,Cafe Mughlai Grill,Pizza,706,3.4,3707,1829,1291274,69,30,Swiggy One,"H.No. 78, Butala Zila, Karimnagar 149523",31-08-2025
2909,Bangalore,Koramangala,Cafe Fast Food Corner,"Chinese, North Indian",608,4.3,2076,3577,2174816,72,40,Swiggy One,"16/486, Ganesan Circle, Ambarnath-985801",05-10-2025
2910,Delhi,Connaught Place,Street Healthy Food World,"Andhra, Seafood, Desserts, Bakery",398,4.4,11722,583,232034,26,10,Swiggy One,"H.No. 17, Rajan Ganj, Amroha 454295",10-11-2025
2911,Bangalore,Jayanagar,Cafe Italian Zone,"Ice Cream, Biryani",475,3.6,13031,3920,1862000,25,50,Regular Delivery,"44/655, Mani Ganj, Parbhani 205872",08-06-2025
2912,Mumbai,Lower Parel,Cafe Arabian Corner,"Desserts, Biryani, Andhra",392,3.5,9740,1177,461384,34,15,Swiggy One,"71/505, Cheema Street, Kalyan-Dombivli-747610",09-10-2025
2913,Hyderabad,Kukatpally,Kitchen Italian Palace,"Healthy Food, Desserts, Mughlai, Chinese",861,3.7,5605,953,820533,23,15,Regular Delivery,"40/74, Jhaveri Marg, Tenali-185795",07-09-2025
2914,Delhi,Rohini,Street Arabian Treats,"Burgers, South Indian, Italian",191,3.3,6250,4851,926541,32,20,Swiggy One,"47, Comar Path, Ulhasnagar 969692",22-11-2025
2915,Delhi,Dwarka,Spice Arabian World,"Burgers, Mughlai, Italian",798,4.7,10303,3098,2472204,64,20,Regular Delivery,"34/08, Kuruvilla Nagar, Imphal-245608",16-09-2025
2916,Delhi,Rohini,Spice Mughlai Grill,"Italian, Mughlai, Desserts",620,4.2,2960,2057,1275340,53,30,Swiggy Genie,"367, Gupta Path, Madhyamgram-558381",30-03-2026
2917,Bangalore,Indiranagar,Food Healthy Food Grill,"Arabian, Fast Food, South Indian",713,3.7,7342,4383,3125079,61,50,Regular Delivery,"H.No. 934, De Chowk, Salem-295563",10-03-2026
2918,Bangalore,Jayanagar,Royal Desserts Grill,"Fast Food, Bakery, Healthy Food, Italian",786,4.1,4810,4878,3834108,69,30,Swiggy Genie,"75, Thaman Zila, Meerut 838623",01-06-2025
2919,Bangalore,BTM Layout,House Seafood Hub,"Italian, Chinese, Biryani",298,4.1,7596,4072,1213456,33,50,Regular Delivery,"139, Wagle Chowk, Mahbubnagar-362394",17-11-2025
2920,Mumbai,Bandra,Food Bakery Palace,"Fast Food, Ice Cream, Mughlai, Arabian",1130,4.2,9392,4618,5218340,25,50,Regular Delivery,"H.No. 49, Barman Circle, Katihar-230408",15-01-2026
2921,Hyderabad,Gachibowli,Express Biryani Hub,South Indian,181,3,4236,3489,631509,31,40,Regular Delivery,"09/30, Ganesh Path, Anand-000452",03-10-2025
2922,Bangalore,Whitefield,Biryani Healthy Food Factory,"Seafood, South Indian",816,3,14255,4708,3841728,57,0,Regular Delivery,"09/58, Rout Path, Anantapuram-899926",20-11-2025
2923,Mumbai,Dadar,House North Indian Hub,North Indian,663,4.1,5834,1582,1048866,52,50,Swiggy One,"14/90, Biswas, Satna 726982",15-09-2025
2924,Hyderabad,Gachibowli,Delight Mughlai Treats,"Arabian, Italian, Bakery, Andhra",835,4.3,2155,4309,3598015,59,25,Swiggy Genie,"H.No. 58, Ravi Marg, Sonipat-773640",08-04-2026
2925,Bangalore,Koramangala,Royal Italian Corner,Italian,799,2.9,10741,1764,1409436,33,25,Swiggy Genie,"H.No. 069, Biswas Zila, Bhatpara-575903",25-11-2025
2926,Chennai,Velachery,House Healthy Food World,"Italian, Burgers, Seafood, Desserts",1029,3.2,14848,3258,3352482,66,15,Swiggy One,"756, Babu Path, Serampore-093769",15-02-2026
2927,Delhi,Dwarka,Royal North Indian Palace,"South Indian, Biryani, Seafood",1016,4.1,4256,3990,4053840,20,50,Swiggy Genie,"55/002, Barad, Jaunpur 326320",20-09-2025
2928,Hyderabad,Hitech City,Royal South Indian World,Andhra,661,4.9,6489,4155,2746455,65,40,Regular Delivery,"22, Mammen Road, Loni-605868",04-08-2025
2929,Chennai,Adyar,Royal Burgers Palace,"Chinese, Desserts",591,3.6,6983,493,291363,52,20,Swiggy Genie,"80/23, Lall Zila, Rajahmundry 418104",17-02-2026
2930,Hyderabad,Kukatpally,Delight Bakery Corner,"Mughlai, Italian",862,3.5,7348,4090,3525580,66,40,Swiggy Genie,"889, Kunda Circle, Guwahati-420753",17-11-2025
2931,Chennai,Anna Nagar,Kitchen Burgers Zone,"Chinese, Bakery, North Indian, Seafood",578,4.2,4924,3242,1873876,71,50,Swiggy One,"46/59, Desai Nagar, Sangli-Miraj & Kupwad 362526",27-10-2025
2932,Mumbai,Andheri,Street Fast Food Treats,"Mughlai, South Indian",604,3,9439,3695,2231780,45,15,Swiggy One,"14, Acharya Marg, Gandhidham-804441",28-01-2026
2933,Mumbai,Powai,Spice Seafood Point,"Desserts, Arabian, Andhra",809,3.6,6618,585,473265,33,0,Regular Delivery,"458, Issac Road, Silchar 588809",20-01-2026
2934,Mumbai,Bandra,Spice Bakery Point,"Pizza, Bakery, South Indian, Mughlai",916,3.3,7346,534,489144,52,50,Swiggy One,"77/055, Chawla Chowk, Buxar 253370",09-12-2025
2935,Delhi,Connaught Place,Cafe Bakery Junction,Fast Food,1095,4.4,11040,3484,3814980,60,20,Swiggy One,"70, Bahl Road, Avadi 547842",15-02-2026
2936,Hyderabad,Banjara Hills,Cafe Mughlai World,"Seafood, Arabian",1063,3.8,1052,2522,2680886,41,30,Regular Delivery,"H.No. 993, Aurora, Muzaffarpur 293221",02-04-2026
2937,Delhi,Rohini,Royal Burgers Grill,Healthy Food,906,4.1,9902,2475,2242350,26,30,Regular Delivery,"787, Maharaj, Giridih 605827",26-09-2025
2938,Delhi,Saket,Delight Desserts Junction,"North Indian, Healthy Food, Seafood, Chinese",334,3.2,2158,3938,1315292,45,20,Swiggy One,"H.No. 365, Tak Ganj, Guntakal-106302",09-08-2025
2939,Mumbai,Andheri,Food Arabian Point,"Chinese, Biryani",856,3.8,1419,632,540992,64,15,Regular Delivery,"10, Agate Circle, Danapur-050532",10-04-2026
2940,Chennai,Velachery,Biryani Andhra Point,"Chinese, Bakery, Arabian",1088,3.7,14913,4650,5059200,43,30,Regular Delivery,"44, Khanna Road, Phagwara 879383",03-03-2026
2941,Hyderabad,Gachibowli,Urban Seafood Zone,"Bakery, Burgers",1124,4.2,14297,127,142748,47,20,Regular Delivery,"H.No. 589, Kala Ganj, Jamalpur-986180",17-08-2025
2942,Hyderabad,Gachibowli,Tandoori Bakery Corner,"Desserts, Mughlai",1018,3.9,8206,1668,1698024,26,30,Swiggy One,"77/69, Bhat Chowk, Chennai 336959",30-12-2025
2943,Delhi,Dwarka,Express Arabian World,"Healthy Food, Chinese, Fast Food",664,3.7,11123,357,237048,43,30,Swiggy One,"41/709, Kanda Path, Gwalior 160336",14-04-2026
2944,Hyderabad,Hitech City,Spice Biryani Zone,"Biryani, Mughlai",843,4.3,857,4502,3795186,53,0,Swiggy One,"646, Bajaj Marg, Gorakhpur-040082",10-12-2025
2945,Chennai,Adyar,Cafe Seafood Zone,"Bakery, Mughlai, North Indian",347,4.2,5293,971,336937,53,0,Swiggy Genie,"H.No. 212, Kaur Circle, Amravati 928353",14-07-2025
2946,Delhi,Rohini,Street Ice Cream World,"Healthy Food, Arabian, Desserts, Mughlai",1011,3,3525,3167,3201837,48,40,Swiggy Genie,"607, Khurana Nagar, Indore 992634",05-02-2026
2947,Mumbai,Powai,Street Italian World,"Seafood, Biryani, Italian, Andhra",686,4.4,6741,4008,2749488,34,20,Regular Delivery,"H.No. 266, Basu Ganj, Satna-543930",17-04-2026
2948,Hyderabad,Gachibowli,Royal Bakery Hub,"Burgers, Ice Cream, South Indian, Arabian",491,3.3,4804,2086,1024226,33,50,Swiggy One,"95, Koshy Path, Ghaziabad 183767",01-12-2025
2949,Chennai,Anna Nagar,Street North Indian Factory,"Burgers, South Indian, Arabian",127,3.3,2189,296,37592,68,40,Regular Delivery,"18/566, Sankaran Street, Belgaum 080884",01-09-2025
2950,Mumbai,Lower Parel,Biryani Healthy Food World,"Burgers, Arabian, South Indian, Pizza",603,4.9,6762,4766,2873898,44,0,Regular Delivery,"H.No. 881, Bhandari Ganj, Medininagar-590237",13-02-2026
2951,Chennai,OMR,Kitchen Arabian World,Chinese,594,3.6,6027,4411,2620134,33,50,Regular Delivery,"598, Ramesh Road, Satna-940769",25-08-2025
2952,Chennai,OMR,House Bakery Factory,"Arabian, Ice Cream, Bakery, Healthy Food",1047,3,1905,2229,2333763,71,25,Swiggy One,"721, Warrior Path, Yamunanagar-816867",15-02-2026
2953,Delhi,Dwarka,Tandoori Seafood Corner,Andhra,814,3.8,7872,2354,1916156,50,50,Swiggy Genie,"72/60, Chad Path, Kavali-653164",26-02-2026
2954,Mumbai,Bandra,Tandoori Ice Cream Zone,Pizza,1052,3.7,6333,746,784792,72,10,Regular Delivery,"72/42, Lal Road, Pimpri-Chinchwad-012563",17-05-2026
2955,Delhi,Rohini,House Desserts Corner,"Seafood, Burgers, Desserts, Arabian",503,4.5,713,569,286207,60,0,Swiggy One,"09/099, Batra Circle, Raurkela Industrial Township 675774",10-02-2026
2956,Delhi,Connaught Place,Royal Italian Junction,"Arabian, Burgers, Bakery",897,3.5,6019,2722,2441634,38,0,Regular Delivery,"H.No. 635, Kari Road, Davanagere 720865",27-07-2025
2957,Delhi,Connaught Place,Urban Arabian Treats,"Ice Cream, Pizza",377,4.6,12164,924,348348,75,50,Swiggy Genie,"83/98, Iyer Street, Motihari 437467",14-07-2025
2958,Hyderabad,Hitech City,Spice Andhra Factory,"Desserts, Italian",604,3.2,14423,3098,1871192,70,20,Regular Delivery,"48, Balan Path, Jamalpur-446532",11-06-2025
2959,Mumbai,Powai,Urban Burgers Point,Mughlai,946,4.7,8657,2744,2595824,51,50,Regular Delivery,"H.No. 576, Rajagopalan Zila, Ajmer-068209",02-10-2025
2960,Mumbai,Lower Parel,Kitchen Andhra Junction,"Healthy Food, Biryani",217,4,7731,4839,1050063,49,20,Regular Delivery,"18/378, Reddy Zila, Nagaon 669883",19-10-2025
2961,Delhi,Saket,Kitchen Healthy Food Zone,"Mughlai, Fast Food, North Indian, Arabian",787,4.8,232,2474,1947038,70,0,Swiggy One,"378, Sankaran Circle, Tezpur 446821",10-01-2026
2962,Chennai,Anna Nagar,Delight North Indian Point,"Pizza, Arabian, Fast Food, Chinese",155,4.8,10079,1288,199640,34,15,Swiggy One,"07/71, Savant Chowk, Firozabad 393387",03-08-2025
2963,Chennai,Velachery,Tandoori North Indian Factory,"Burgers, Healthy Food, Pizza, Fast Food",743,4.2,12138,4174,3101282,42,40,Swiggy Genie,"38, Shankar Road, Bhilwara-173453",03-01-2026
2964,Bangalore,Whitefield,Cafe Italian Corner,"Seafood, Biryani, Arabian, Ice Cream",689,4.5,5222,4915,3386435,55,10,Regular Delivery,"89/02, Venkataraman Marg, Bikaner-256111",18-07-2025
2965,Mumbai,Andheri,Cafe Seafood Junction,"North Indian, Desserts, Burgers",124,3.6,12201,3989,494636,45,30,Swiggy Genie,"729, Kar Path, Ulhasnagar 631383",25-09-2025
2966,Mumbai,Lower Parel,Kitchen North Indian Factory,"Bakery, North Indian",288,4.5,14010,3483,1003104,22,40,Swiggy One,"984, Chanda Circle, Kharagpur 221397",02-01-2026
2967,Hyderabad,Madhapur,Food Desserts Zone,"Biryani, Burgers",1041,4.4,13615,4345,4523145,31,50,Swiggy One,"44/475, Ramachandran Circle, Baranagar 300565",02-05-2026
2968,Hyderabad,Banjara Hills,Cafe Burgers Palace,"Biryani, Pizza",292,3.3,1744,100,29200,50,20,Swiggy One,"48/40, Kala Marg, Dindigul 575881",12-04-2026
2969,Hyderabad,Hitech City,Express Fast Food Hub,Bakery,955,4,11247,3562,3401710,52,20,Regular Delivery,"H.No. 895, Chand Ganj, Indore 353033",12-04-2026
2970,Bangalore,Whitefield,Food Seafood Treats,"Burgers, Biryani, Ice Cream, Fast Food",214,4.8,7829,2946,630444,50,30,Regular Delivery,"H.No. 824, Rajagopalan Zila, Kavali 406254",13-04-2026
2971,Chennai,Adyar,Royal North Indian Factory,"Seafood, Pizza",1025,3.8,10846,177,181425,28,30,Swiggy One,"96, Rau Nagar, Panvel-624992",05-12-2025
2972,Bangalore,Indiranagar,Express Seafood Factory,"Chinese, North Indian, Seafood",1036,3.1,5663,3027,3135972,51,25,Swiggy One,"34/48, Bahri Ganj, Coimbatore 552188",11-06-2025
2973,Hyderabad,Madhapur,Street Biryani Hub,Pizza,706,3,1021,2561,1808066,70,50,Regular Delivery,"02, Mallick Ganj, Ambattur 312690",15-05-2026
2974,Hyderabad,Madhapur,Royal Andhra Point,"Mughlai, North Indian, Ice Cream, Seafood",296,3.5,6058,3657,1082472,60,40,Swiggy Genie,"50, Sibal Path, Kamarhati-160244",01-06-2025
2975,Hyderabad,Kukatpally,Kitchen Bakery Hub,Ice Cream,206,2.9,13636,4601,947806,39,30,Swiggy One,"H.No. 10, Dutta Circle, Mathura-855681",14-07-2025
2976,Bangalore,Jayanagar,Kitchen North Indian Treats,"Pizza, Seafood",196,4.7,6348,2062,404152,39,25,Swiggy One,"72/726, Deep Nagar, Bikaner-843852",14-08-2025
2977,Mumbai,Powai,House Mughlai Junction,Desserts,565,3.6,8032,2573,1453745,28,15,Swiggy One,"93/482, Varma Chowk, Bettiah-495719",03-09-2025
2978,Chennai,OMR,Spice Desserts Junction,Healthy Food,835,2.9,12553,1587,1325145,69,25,Swiggy One,"69, Mandal Path, Pudukkottai-602829",28-11-2025
2979,Chennai,OMR,Delight South Indian Hub,"Mughlai, Bakery, Biryani, Seafood",191,3.3,3518,2318,442738,57,0,Regular Delivery,"H.No. 581, Lal Street, Rajkot-781694",04-07-2025
2980,Delhi,Rohini,Royal Arabian Hub,"Healthy Food, Seafood, Chinese, Burgers",891,3,7218,1806,1609146,23,50,Swiggy Genie,"548, Ben Street, Ajmer 437862",20-08-2025
2981,Mumbai,Andheri,Food Biryani Junction,Mughlai,156,3.3,10317,3190,497640,54,25,Regular Delivery,"H.No. 41, Gupta Road, Hapur 458250",04-06-2025
2982,Bangalore,Indiranagar,Spice Biryani Treats,Bakery,636,3.5,6748,3108,1976688,44,15,Swiggy One,"79, Kapur Chowk, Bangalore 676115",02-07-2025
2983,Hyderabad,Madhapur,Food Biryani Corner,"Bakery, Biryani",1023,3.6,8251,1490,1524270,48,40,Swiggy Genie,"67/73, Mammen Zila, Singrauli 750767",06-06-2025
2984,Delhi,Karol Bagh,Spice South Indian Grill,"Arabian, Desserts, Pizza, Burgers",1155,4.1,7444,1976,2282280,27,50,Regular Delivery,"H.No. 68, Zacharia, Ambattur 992761",07-06-2025
2985,Hyderabad,Madhapur,Spice Ice Cream Corner,"Healthy Food, South Indian, Fast Food",903,4.8,13599,2148,1939644,25,25,Swiggy One,"H.No. 65, Guha Street, Pudukkottai-155917",21-12-2025
2986,Bangalore,Whitefield,Street Biryani Factory,"South Indian, Andhra, Pizza",499,3.7,4701,4991,2490509,42,15,Swiggy One,"H.No. 92, Ganguly Chowk, Rourkela-234672",18-08-2025
2987,Delhi,Karol Bagh,House Biryani Junction,"Ice Cream, South Indian, Seafood",1068,4,4216,3590,3834120,58,50,Swiggy Genie,"390, Dhar Zila, Kishanganj 827231",07-11-2025
2988,Bangalore,Jayanagar,Tandoori Mughlai Factory,"Fast Food, Desserts",457,3.5,2894,3495,1597215,72,50,Swiggy Genie,"81, Chad Nagar, Jammu-964280",28-06-2025
2989,Mumbai,Powai,Food Ice Cream Palace,Arabian,126,4.5,7182,1639,206514,64,10,Swiggy One,"954, Tandon Chowk, Solapur 076144",02-02-2026
2990,Hyderabad,Kukatpally,Biryani Mughlai Point,"Seafood, Burgers",524,3.1,7099,803,420772,66,15,Swiggy Genie,"22/05, Bhatt Zila, Suryapet-712701",22-04-2026
2991,Delhi,Karol Bagh,Biryani Chinese Hub,Bakery,840,3.4,2221,1238,1039920,75,30,Swiggy One,"H.No. 49, Mallick Ganj, Nagpur 592105",07-02-2026
2992,Chennai,Anna Nagar,Express South Indian Zone,"Mughlai, Italian, Ice Cream",680,4.2,8661,3673,2497640,31,0,Swiggy Genie,"637, Amble Street, Bhilwara 080086",31-12-2025
2993,Mumbai,Andheri,Tandoori Arabian Hub,"Mughlai, Biryani",497,4.2,3521,2113,1050161,51,10,Swiggy Genie,"662, D’Alia Circle, Belgaum-677088",26-05-2025
2994,Mumbai,Dadar,Tandoori Pizza Treats,"Italian, Biryani",376,3.7,11862,2467,927592,47,50,Swiggy One,"61/44, Sama Chowk, Shimla 353944",25-12-2025
2995,Delhi,Karol Bagh,Food Italian World,Arabian,722,4,2524,2279,1645438,56,25,Regular Delivery,"62, Kala Nagar, Dhule 603357",26-06-2025
2996,Delhi,Saket,Food Healthy Food Factory,Fast Food,1133,3.1,14243,3429,3885057,73,40,Regular Delivery,"H.No. 766, Chadha, Secunderabad 622991",03-08-2025
2997,Chennai,OMR,Tandoori Mughlai Treats,Seafood,1019,4.2,3478,340,346460,68,15,Swiggy Genie,"H.No. 727, Lala Nagar, Panvel-906111",14-12-2025
2998,Bangalore,Whitefield,Royal Healthy Food World,Fast Food,150,3.5,5004,4623,693450,22,20,Regular Delivery,"77/97, Sidhu Circle, Amritsar 632962",23-09-2025
2999,Delhi,Saket,House Seafood Point,"Fast Food, South Indian",1168,2.8,6571,4508,5265344,45,25,Swiggy Genie,"80/518, Kaul Road, Aurangabad 179429",12-10-2025
3000,Hyderabad,Gachibowli,Delight Desserts Zone,"Pizza, Ice Cream, North Indian, South Indian",868,4.8,1229,2341,2031988,27,30,Regular Delivery,"05/38, Konda Circle, Machilipatnam 507487",14-10-2025
3001,Hyderabad,Hitech City,Street Chinese Factory,"Biryani, Burgers, Desserts, Healthy Food",292,2.8,6236,180,52560,69,40,Regular Delivery,"H.No. 194, Deep Circle, Shimla 897606",04-11-2025
3002,Mumbai,Bandra,Spice Arabian Treats,"Mughlai, Burgers",197,4.8,6773,1255,247235,61,15,Swiggy One,"99/59, Bose Marg, Bikaner-342496",03-01-2026
3003,Mumbai,Lower Parel,Biryani Biryani Zone,"Pizza, Italian",419,4.6,14693,2084,873196,47,10,Swiggy One,"H.No. 688, Kant Street, Bidhannagar-416469",14-11-2025
3004,Bangalore,Whitefield,Express Arabian Hub,"Chinese, North Indian",278,3.5,7915,224,62272,74,50,Swiggy One,"21, Desai Circle, Patna-671981",26-05-2025
3005,Hyderabad,Hitech City,Delight Healthy Food Factory,South Indian,496,4.6,6974,3507,1739472,53,40,Swiggy One,"H.No. 49, Shroff Path, Suryapet 684561",30-03-2026
3006,Bangalore,Jayanagar,Royal Mughlai Zone,"Andhra, Ice Cream",455,3,737,3938,1791790,48,20,Swiggy Genie,"501, Mander Nagar, Patiala 439050",27-04-2026
